,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
170,natal,-5.79,-35.21,69.8,94,29,3.36,BR,1594683860
171,saint-pierre,-21.34,55.48,68.0,68,3,8.05,RE,1594683630
172,lebu,-37.62,-73.65,48.16,76,0,3.27,CL,1594684036
173,vostok,46.49,135.88,65.32,97,55,3.53,RU,1594683767
174,ossora,59.24,163.07,59.61,79,99,8.46,RU,1594683616
175,thompson,55.74,-97.86,62.6,93,75,4.7,CA,1594683995
176,shouguang,36.88,118.74,74.75,73,94,2.57,CN,1594684037
177,newport,51.59,-3.0,61.0,97,92,6.38,GB,1594684037
178,greymouth,-42.47,171.2,49.73,70,57,4.92,NZ,1594684037
179,ribeira grande,38.52,-28.7,68.68,82,5,13.53,PT,1594684038
180,aviles,43.55,-5.92,62.6,93,68,1.97,ES,1594684038
181,georgetown,5.41,100.34,78.8,94,20,1.57,MY,1594683887
182,batagay-alyta,67.8,130.41,69.82,43,15,8.88,RU,1594684038
183,vila velha,-20.33,-40.29,75.2,78,0,11.41,BR,1594683804
184,mahon,39.89,4.27,71.6,78,0,4.7,ES,1594684131
185,tasiilaq,65.61,-37.64,42.8,81,91,5.82,GL,1594684101
186,roma,43.21,-75.46,75.2,64,40,8.05,US,1594684132
187,kokino,52.5,34.78,58.69,86,100,12.46,RU,1594684132
188,arraial do cabo,-22.97,-42.03,73.36,72,0,2.59,BR,1594684104
189,xuddur,4.12,43.89,71.51,78,27,18.21,SO,1594684132
190,pozo colorado,-23.49,-58.8,67.15,71,93,11.5,PY,1594684132
191,sainte-luce-sur-loire,47.25,-1.48,60.8,77,66,3.36,FR,1594684132
192,baykit,61.67,96.37,68.31,58,36,3.15,RU,1594683569
193,zyryanka,65.75,150.85,74.39,37,61,3.71,RU,1594684133
194,haines junction,60.75,-137.51,63.0,37,100,8.46,CA,1594684125
195,nakambala,-15.83,27.78,53.76,69,0,4.56,ZM,1594684133
196,hamilton,39.18,-84.53,82.99,48,75,9.17,US,1594683918
197,cabra,37.47,-4.44,86.0,42,1,10.29,ES,1594684133
198,batticaloa,7.71,81.69,80.67,78,100,5.86,LK,1594684134
199,saint george,37.1,-113.58,108.0,10,1,17.22,US,1594683935
200,mount gambier,-37.83,140.77,41.0,93,0,6.82,AU,1594684134
201,maxixe,-23.86,35.35,60.57,74,0,10.45,MZ,1594684134
202,pemba,-12.97,40.52,71.6,83,20,10.29,MZ,1594684134
203,salalah,17.02,54.09,80.6,100,90,6.93,OM,1594684113
204,amazar,53.86,120.88,76.98,55,97,0.89,RU,1594684135
205,kapit,2.02,112.93,73.67,95,100,1.14,MY,1594684135
206,anadyr,64.75,177.48,51.8,87,40,15.66,RU,1594683999
207,goure,13.98,10.27,84.0,66,19,4.0,NE,1594684135
208,quang ngai,15.12,108.8,79.21,76,36,1.59,VN,1594683958
209,wanning,18.8,110.4,83.8,79,38,8.43,CN,1594684157
210,hami,42.8,93.45,74.75,30,0,8.08,CN,1594684143
211,severnyy,50.68,36.55,62.6,100,75,8.95,RU,1594684157
212,mahebourg,-20.41,57.7,69.8,88,40,5.82,MU,1594684157
213,fairbanks,64.84,-147.72,64.4,68,75,13.87,US,1594684158
214,phan thiet,10.93,108.1,78.58,83,100,6.42,VN,1594684158
215,tarko-sale,64.92,77.78,51.01,81,80,19.62,RU,1594684127
216,udachnyy,66.42,112.4,68.0,49,6,4.47,RU,1594684158
217,maymyo,22.03,96.47,78.8,83,75,9.17,MM,1594684158
218,rawson,-43.3,-65.1,39.02,70,0,18.54,AR,1594684159
219,nueve de julio,-35.44,-60.88,41.0,52,0,1.99,AR,1594683980
220,oromocto,45.84,-66.48,80.01,61,90,3.36,CA,1594684159
221,bida,9.08,6.02,73.0,95,97,4.79,NG,1594684159
222,college,64.86,-147.8,64.4,72,75,8.05,US,1594684002
223,akureyri,65.68,-18.09,51.8,87,90,8.05,IS,1594684159
224,gboko,7.32,9.0,73.6,91,96,11.32,NG,1594684160
225,biritiba-mirim,-23.57,-46.04,73.4,53,48,2.24,BR,1594684160
226,falam,22.92,93.68,62.94,100,100,1.14,MM,1594684160
227,le port,-20.94,55.29,71.6,68,10,11.41,RE,1594684160
228,yulara,-25.24,130.99,41.0,60,0,5.82,AU,1594684160
229,shawville,45.6,-76.48,73.0,79,39,1.01,CA,1594684161
230,pakxe,15.12,105.78,77.76,88,98,2.39,LA,1594684161
231,norman wells,65.28,-126.83,73.4,40,75,4.7,CA,1594684161
232,idlib,35.93,36.63,78.8,78,0,13.87,SY,1594684161
233,souillac,-20.52,57.52,69.8,88,40,5.82,MU,1594684161
234,peterhead,57.51,-1.8,55.99,71,47,9.17,GB,1594684161
235,mezen,65.85,44.24,50.05,88,100,6.64,RU,1594684150
236,qandala,11.47,49.87,90.18,50,74,9.01,SO,1594684162
237,waddan,29.16,16.14,70.09,74,0,6.2,LY,1594683633
238,olinda,-8.01,-34.86,77.0,78,75,9.17,BR,1594684162
239,chuy,-33.7,-53.46,38.62,74,1,9.75,UY,1594684140
